customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,churn_probability,predicted_churn,risk_category,cluster,segment_name,pca_1,pca_2,strategic_group,value_at_risk,actionable_value_at_risk,priority_percentile,retention_priority,retention_rank
5178-LMXOP,1,United States,California,Gardena,90248,"33.876482, -118.284077",33.876482,-118.284077,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,95.1,Yes,1,70,5795,Price too high,0.8795762416851967,1,High,2,New High-Risk,-2.964718617843315,-1.0735734475346317,High Risk,5097.144320565714,5097.144320565714,1.0,Critical,1
5567-WSELE,1,United States,California,Richmond,94801,"37.945288, -122.383941",37.945288,-122.383941,Male,Yes,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,279.55,Yes,1,87,3019,Competitor had better devices,0.8738510999672032,1,High,2,New High-Risk,-2.954209641578057,-1.3779571398305652,High Risk,2638.1564708009864,2638.1564708009864,0.8814425670878887,High,836
7216-EWTRS,1,United States,California,Newport Beach,92663,"33.62251, -117.927024",33.62251,-117.927024,Female,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,100.8,Yes,1,65,3128,Attitude of service provider,0.870153870676051,1,High,2,New High-Risk,-2.9726671991853166,-0.5514603856792436,High Risk,2721.8413074746877,2721.8413074746877,0.8939372426522788,High,748
3049-SOLAY,1,United States,California,Fallbrook,92028,"33.362575, -117.299644",33.362575,-117.299644,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.2,292.85,Yes,1,86,4176,Competitor offered higher download speeds,0.8692104842263491,1,High,2,New High-Risk,-2.537177968609038,-1.1105035842678148,High Risk,3629.822982129234,3629.822982129234,0.9657816271475224,Critical,242
4826-XTSOH,1,United States,California,Moss Landing,95039,"36.863303, -121.781632",36.863303,-121.781632,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.05,86.05,Yes,1,96,4843,Attitude of support person,0.8535441595968367,1,High,2,New High-Risk,-2.8159362211341405,-1.9833749113395336,High Risk,4133.71436492748,4133.71436492748,0.9873633394860145,Critical,90
6861-XWTWQ,1,United States,California,Napa,94559,"38.232389, -122.324944",38.232389,-122.324944,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,Yes,1,90,2487,Lack of self-service on Website,0.8532175308557394,1,High,2,New High-Risk,-2.9921784716200164,-0.478339651031206,High Risk,2121.951999238224,2121.951999238224,0.8113020019877893,High,1330
6108-OQZDQ,1,United States,California,Keene,93531,"35.214982, -118.59049",35.214982,-118.59049,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.95,384.5,Yes,1,72,2570,Attitude of service provider,0.8514185918239118,1,High,2,New High-Risk,-2.53027739685938,-0.5565862345245113,High Risk,2188.1457809874532,2188.1457809874532,0.8225188130058214,High,1251
2656-TABEH,1,United States,California,Temecula,92591,"33.540604, -117.10909",33.540604,-117.10909,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,420.2,Yes,1,82,2650,Service dissatisfaction,0.8493775819045822,1,High,2,New High-Risk,-2.5508765930757025,-0.5310792754817476,High Risk,2250.850592047143,2250.850592047143,0.8307539400823513,High,1193
9497-QCMMS,1,United States,California,Escondido,92026,"33.21846, -117.116916",33.21846,-117.116916,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,93.55,Yes,1,81,5536,Competitor made better offer,0.8485899517912453,1,High,2,New High-Risk,-2.951349139485206,-1.9398071596312696,High Risk,4697.793973116334,4697.793973116334,0.9988641204032372,Critical,9
8884-ADFVN,1,United States,California,Roseville,95678,"38.759751, -121.288545",38.759751,-121.288545,Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,Yes,1,74,2016,Don't know,0.8485355459231134,1,High,2,New High-Risk,-3.012738543319101,-0.5214382799249723,High Risk,1710.6476605809967,1710.6476605809967,0.7354820389038762,Medium,1864
