customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,churn_probability,predicted_churn,risk_category,cluster,segment_name,pca_1,pca_2,strategic_group,value_at_risk,actionable_value_at_risk,priority_percentile,retention_priority,retention_rank
5178-LMXOP,1,United States,California,Gardena,90248,"33.876482, -118.284077",33.876482,-118.284077,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,95.1,Yes,1,70,5795,Price too high,0.8795762416851967,1,High,2,New High-Risk,-2.964718617843315,-1.0735734475346317,High Risk,5097.144320565714,5097.144320565714,1.0,Critical,1
0295-PPHDO,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,Yes,1,71,5962,Attitude of support person,0.8417580495589998,1,High,2,New High-Risk,-2.5393133783164297,-1.7617634901275572,High Risk,5018.561491470757,5018.561491470757,0.9998580150504046,Critical,2
6496-SLWHQ,1,United States,California,Moraga,94556,"37.827946, -122.107185",37.827946,-122.107185,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,294.45,Yes,1,87,5960,Lack of self-service on Website,0.8060770106007364,1,High,2,New High-Risk,-3.0141381296403664,-0.2200362999919211,High Risk,4804.218983180389,4804.218983180389,0.9997160301008093,Critical,3
4822-RVYBB,1,United States,California,Berkeley,94704,"37.871416, -122.246597",37.871416,-122.246597,Male,Yes,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,Yes,1,90,5906,Competitor offered higher download speeds,0.8069904035376588,1,High,2,New High-Risk,-3.035876798977266,-0.8244351865508541,High Risk,4766.085323293413,4766.085323293413,0.999574045151214,Critical,4
3027-ZTDHO,1,United States,California,Fresno,93721,"36.732694, -119.783786",36.732694,-119.783786,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,Yes,1,80,5951,Don't know,0.7987304029913509,1,High,2,New High-Risk,-2.080475184479409,-2.370165699849158,High Risk,4753.244628201529,4753.244628201529,0.9994320602016187,Critical,5
0196-VULGZ,1,United States,California,Irvine,92620,"33.716136, -117.752574",33.716136,-117.752574,Female,Yes,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,Yes,1,77,5721,Deceased,0.829812788028317,1,High,2,New High-Risk,-2.837111909802845,-1.750142638935524,High Risk,4747.358960310002,4747.358960310002,0.9992900752520233,Critical,6
6100-QQHEB,1,United States,California,San Jose,95121,"37.304681, -121.809955",37.304681,-121.809955,Male,No,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.55,1515.1,Yes,1,99,5775,Moved,0.8186261771754622,1,High,2,New High-Risk,-2.605679824782239,-0.5526048064022676,High Risk,4727.566173188294,4727.566173188294,0.9991480903024279,Critical,7
4952-YSOGZ,1,United States,California,Lompoc,93436,"34.601055, -120.382917",34.601055,-120.382917,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,381.3,Yes,1,74,5640,Competitor offered more data,0.8345349547054223,1,High,2,New High-Risk,-2.4123565975972228,-1.679276576134888,High Risk,4706.7771445385815,4706.7771445385815,0.9990061053528326,Critical,8
9497-QCMMS,1,United States,California,Escondido,92026,"33.21846, -117.116916",33.21846,-117.116916,Male,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,93.55,Yes,1,81,5536,Competitor made better offer,0.8485899517912453,1,High,2,New High-Risk,-2.951349139485206,-1.9398071596312696,High Risk,4697.793973116334,4697.793973116334,0.9988641204032372,Critical,9
2720-WGKHP,1,United States,California,Sloughhouse,95683,"38.470423, -121.114897",38.470423,-121.114897,Male,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,181.7,Yes,1,93,5569,Don't know,0.8435101728487133,1,High,2,New High-Risk,-2.9608945880619366,-1.907353422223344,High Risk,4697.508152594484,4697.508152594484,0.998722135453642,Critical,10
6688-UZPWD,1,United States,California,Palm Springs,92262,"33.839989, -116.659215",33.839989,-116.659215,Female,No,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.0,1145.35,Yes,1,88,5750,Competitor offered more data,0.8160497341926584,1,High,2,New High-Risk,-2.631768088765276,0.0729976954164679,High Risk,4692.2859716077855,4692.2859716077855,0.9985801505040466,Critical,11
0187-QSXOE,1,United States,California,Fresno,93725,"36.623632, -119.741322",36.623632,-119.741322,Male,Yes,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,No,0,36,5711,Attitude of support person,0.8194195017431465,1,High,2,New High-Risk,-2.5344999627060503,-1.5385134901362882,High Risk,4679.704774455109,4679.704774455109,0.9984381655544512,Critical,12
3319-DWOEP,1,United States,California,Los Angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,Male,Yes,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.75,573.75,Yes,1,89,5750,Competitor made better offer,0.81230568819846,1,High,2,New High-Risk,-2.565877719556064,-0.6839093104040784,High Risk,4670.757707141145,4670.757707141145,0.9982961806048559,Critical,13
2371-JQHZZ,1,United States,California,Bakersfield,93307,"35.280113, -118.962329",35.280113,-118.962329,Male,No,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.0,2248.05,No,0,29,5886,Attitude of support person,0.7866084873871303,1,High,2,New High-Risk,-2.656382566607481,-0.3364771609547561,High Risk,4629.977556760649,4629.977556760649,0.9981541956552605,Critical,14
8185-UPYBR,1,United States,California,Hermosa Beach,90254,"33.86532, -118.396336",33.86532,-118.396336,Male,No,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,438.0,Yes,1,88,5838,Product dissatisfaction,0.7926934361147947,1,High,2,New High-Risk,-2.265226925558819,-2.4114404171562884,High Risk,4627.744280038171,4627.744280038171,0.9980122107056651,Critical,15
2506-TNFCO,1,United States,California,Riverside,92509,"34.004379, -117.447864",34.004379,-117.447864,Female,Yes,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,Yes,1,67,5948,Network reliability,0.7751641735564617,1,High,2,New High-Risk,-2.209972432255921,-3.240615046232922,High Risk,4610.676504313834,4610.676504313834,0.9978702257560699,Critical,16
2865-TCHJW,1,United States,California,Anaheim,92807,"33.848733, -117.788357",33.848733,-117.788357,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,Yes,1,74,5808,Competitor had better devices,0.7911403808790567,1,High,2,New High-Risk,-2.844848954733375,-1.7561128121633136,High Risk,4594.943332145562,4594.943332145562,0.9977282408064745,Critical,17
2725-KXXWT,1,United States,California,Vallejo,94589,"38.161321, -122.271588",38.161321,-122.271588,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.75,90.75,Yes,1,86,5460,Lack of self-service on Website,0.8395212485402042,1,High,2,New High-Risk,-2.083216949425855,-1.603287474293695,High Risk,4583.786017029514,4583.786017029514,0.9975862558568792,Critical,18
9282-IZGQK,1,United States,California,Irvine,92612,"33.643095, -117.810896",33.643095,-117.810896,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,Yes,1,80,5679,Don't know,0.8070893060546943,1,High,2,New High-Risk,-2.38698913666594,-2.587515858201052,High Risk,4583.460169084609,4583.460169084609,0.9974442709072838,Critical,19
4951-UKAAQ,1,United States,California,Inglewood,90302,"33.975332, -118.355252",33.975332,-118.355252,Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.95,355.2,Yes,1,72,5948,Network reliability,0.7686137721057872,1,High,2,New High-Risk,-2.4136757650425285,-1.7352389849447576,High Risk,4571.714716485222,4571.714716485222,0.9973022859576884,Critical,20
7180-PISOG,1,United States,California,Piru,93040,"34.432843, -118.730106",34.432843,-118.730106,Male,No,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,Yes,1,75,5554,Attitude of service provider,0.8224023975661795,1,High,2,New High-Risk,-2.231032538319986,-2.5722926033443474,High Risk,4567.622916082561,4567.622916082561,0.9971603010080932,Critical,21
5565-FILXA,1,United States,California,Yosemite National Park,95389,"37.704267, -119.607001",37.704267,-119.607001,Female,Yes,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.15,1529.2,Yes,1,96,5913,Don't know,0.7719320972984649,1,High,2,New High-Risk,-3.066626421788784,-1.470701645906882,High Risk,4564.434491325823,4564.434491325823,0.9970183160584978,Critical,22
0637-KVDLV,1,United States,California,Elk Grove,95758,"38.35363, -121.44195",38.35363,-121.44195,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,162.45,Yes,1,80,5944,Don't know,0.764544292240547,1,High,2,New High-Risk,-2.256292644982203,-3.3129486138983912,High Risk,4544.4512730778115,4544.4512730778115,0.9968763311089025,Critical,23
1374-DMZUI,1,United States,California,San Ramon,94583,"37.766556, -121.976784",37.766556,-121.976784,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,Yes,1,99,5419,Competitor made better offer,0.8345159790637401,1,High,2,New High-Risk,-2.977398948428931,-1.8633566126018235,High Risk,4522.242090546408,4522.242090546408,0.9967343461593071,Critical,24
1626-ERCMM,1,United States,California,Camp Nelson,93208,"36.057458, -118.591951",36.057458,-118.591951,Male,Yes,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,Yes,1,84,5604,Competitor had better devices,0.8064528138302134,1,High,2,New High-Risk,-3.0746305175765807,-0.5843818097553856,High Risk,4519.361568704516,4519.361568704516,0.9965923612097117,Critical,25
1320-HTRDR,1,United States,California,Fellows,93224,"35.215731, -119.57013",35.215731,-119.57013,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,220.6,Yes,1,79,5948,Attitude of service provider,0.758192940113946,1,High,2,New High-Risk,-2.2523261393991545,-3.2950399768113643,High Risk,4509.731607797751,4509.731607797751,0.9964503762601165,Critical,26
4102-OQUPX,1,United States,California,Sheep Ranch,95250,"38.244806, -120.417301",38.244806,-120.417301,Male,Yes,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,Yes,1,91,5429,Competitor made better offer,0.8257031961283465,1,High,2,New High-Risk,-2.659637272906571,-2.7033811210098246,High Risk,4482.7426517807935,4482.7426517807935,0.9963083913105211,Critical,27
6416-TVAIH,1,United States,California,San Francisco,94127,"37.736535, -122.45732",37.736535,-122.45732,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.5,68.5,Yes,1,89,5753,Competitor offered more data,0.7767944891631477,1,High,2,New High-Risk,-1.7699378113751698,-3.155886331104268,High Risk,4468.898696155589,4468.898696155589,0.9961664063609258,Critical,28
7577-SWIFR,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.25,89.25,No,0,28,5579,Attitude of support person,0.8004346509314314,1,High,2,New High-Risk,-2.0727513025917217,-2.4208573945991385,High Risk,4465.624917546455,4465.624917546455,0.9960244214113304,Critical,29
3746-EUBYR,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.6,74.6,Yes,1,75,5861,Service dissatisfaction,0.7605274757676151,1,High,2,New High-Risk,-2.012342124653728,-2.0421238400939377,High Risk,4457.451535473992,4457.451535473992,0.995882436461735,Critical,30
5277-ZLOOR,1,United States,California,Applegate,95703,"38.983388, -120.988814",38.983388,-120.988814,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.55,187.45,Yes,1,86,5512,Network reliability,0.8082755254550466,1,High,2,New High-Risk,-2.82367233420091,-2.697662794495292,High Risk,4455.214696308217,4455.214696308217,0.9957404515121397,Critical,31
9944-HKVVB,1,United States,California,King City,93930,"36.220761, -120.980777",36.220761,-120.980777,Female,No,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,Yes,1,77,5861,Competitor offered higher download speeds,0.7600655726149532,1,High,2,New High-Risk,-2.1110934260117253,-1.5793746190644602,High Risk,4454.744321096241,4454.744321096241,0.9955984665625444,Critical,32
9399-APLBT,1,United States,California,Rialto,92377,"34.156758, -117.404686",34.156758,-117.404686,Female,No,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes,1,80,5980,Competitor had better devices,0.7427775512936099,1,High,2,New High-Risk,-1.797349316976956,-2.377336913070291,High Risk,4441.809756735787,4441.809756735787,0.995456481612949,Critical,33
5995-SNNEW,1,United States,California,Whittier,90605,"33.960891, -118.032222",33.960891,-118.032222,Male,Yes,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.45,2184.85,No,0,37,5883,Attitude of support person,0.7542790471615584,1,High,0,Established High-Value,-3.1294870793462906,1.1354508366627163,High Risk,4437.4236344514475,4437.4236344514475,0.9953144966633537,Critical,34
5868-YWPDW,1,United States,California,Sherman Oaks,91423,"34.146957, -118.432138",34.146957,-118.432138,Male,Yes,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.2,519.15,Yes,1,72,5834,Limited range of services,0.7602970017084909,1,High,2,New High-Risk,-2.400975534037474,-1.5905900116263805,High Risk,4435.572707967336,4435.572707967336,0.9951725117137583,Critical,35
8361-LTMKD,1,United States,California,Apple Valley,92307,"34.55082, -117.122396",34.55082,-117.122396,Male,Yes,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.4,306.6,Yes,1,77,5839,Competitor offered more data,0.7594620912164898,1,High,2,New High-Risk,-2.177526824896142,-2.519107233649736,High Risk,4434.499150613084,4434.499150613084,0.995030526764163,Critical,36
6630-UJZMY,1,United States,California,Palo Alto,94306,"37.416159, -122.131337",37.416159,-122.131337,Female,Yes,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,No,0,37,5251,Attitude of support person,0.844449459464069,1,High,2,New High-Risk,-2.81088813198237,-1.8712281654677003,High Risk,4434.204111645827,4434.204111645827,0.9948885418145677,Critical,37
6023-YEBUP,1,United States,California,Stockton,95210,"38.033219, -121.297433",38.033219,-121.297433,Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,Yes,1,81,5351,Competitor offered higher download speeds,0.8249869818010718,1,High,2,New High-Risk,-2.5735573973570185,-0.9172612347467408,High Risk,4414.505339617535,4414.505339617535,0.9947465568649723,Critical,38
9957-YODKZ,1,United States,California,Canby,96015,"41.486953, -120.913975",41.486953,-120.913975,Male,Yes,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.8,457.1,No,0,68,5611,Attitude of support person,0.7857016740623027,1,High,2,New High-Risk,-2.7170686488771696,-1.6912092966140655,High Risk,4408.572093163581,4408.572093163581,0.994604571915377,Critical,39
0897-FEGMU,1,United States,California,Los Angeles,90048,"34.072945, -118.37267",34.072945,-118.37267,Female,No,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,1056.95,Yes,1,84,5286,Network reliability,0.8325694972239793,1,High,2,New High-Risk,-2.60742858809673,0.1063311323642427,High Risk,4400.962362325955,4400.962362325955,0.9944625869657816,Critical,40
6583-KQJLK,1,United States,California,Twin Bridges,95735,"38.805481, -120.13287",38.805481,-120.13287,Female,Yes,Yes,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,1285.05,No,0,70,5868,Attitude of support person,0.7456440913197473,1,High,2,New High-Risk,-2.6009277934616604,-0.566413555459201,High Risk,4375.439527864277,4375.439527864277,0.9943206020161863,Critical,41
0325-XBFAC,1,United States,California,Hoopa,95546,"41.163637, -123.704841",41.163637,-123.704841,Male,No,No,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7,740.3,Yes,1,94,5811,Competitor offered more data,0.7513631232344542,1,High,2,New High-Risk,-2.1393668729685817,-1.3410618223018482,High Risk,4366.171109115413,4366.171109115413,0.9941786170665909,Critical,42
3387-VATUS,1,United States,California,Aromas,95004,"36.878364, -121.629781",36.878364,-121.629781,Male,No,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.85,462.8,Yes,1,69,5701,Attitude of service provider,0.7654753904869327,1,High,2,New High-Risk,-2.33487510120042,-1.2006735904431218,High Risk,4363.975201166003,4363.975201166003,0.9940366321169956,Critical,43
4806-HIPDW,1,United States,California,Calimesa,92320,"33.982787, -117.057627",33.982787,-117.057627,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,68.95,Yes,1,75,5644,Limited range of services,0.7731863115707228,1,High,2,New High-Risk,-1.7728620280409395,-3.167754324855447,High Risk,4363.86354250516,4363.86354250516,0.9938946471674003,Critical,44
2876-GZYZC,1,United States,California,Cerritos,90703,"33.8681, -118.067402",33.8681,-118.067402,Female,No,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,No,0,58,5886,Attitude of support person,0.7413831501673238,1,High,2,New High-Risk,-2.468509093027341,-2.2320059220251123,High Risk,4363.781221884868,4363.781221884868,0.9937526622178049,Critical,45
8348-HFYIV,1,United States,California,Oakland,94601,"37.776523, -122.219268",37.776523,-122.219268,Male,No,No,No,2,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.25,90.35,Yes,1,90,5775,Limited range of services,0.7534941701599822,1,High,3,Mid-Tenure Moderate-Risk,-2.2429186206767016,-1.9805657715016536,High Risk,4351.428832673897,4351.428832673897,0.9936106772682096,Critical,46
3178-FESZO,1,United States,California,Clements,95227,"38.227285, -121.02789",38.227285,-121.02789,Female,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.25,100.25,Yes,1,100,5797,Don't know,0.748755662419727,1,High,2,New High-Risk,-2.3264093468653693,-0.543691885696077,High Risk,4340.536575047157,4340.536575047157,0.9934686923186142,Critical,47
